NOMBRE;TIPO_GESTION;ESTADO_LICENCIAMIENTO;PERIODO_LICENCIAMIENTO;DEPARTAMENTO_LOCAL;PROVINCIA_LOCAL;DISTRITO_LOCAL
UNIVERSIDAD ANTONIO RUIZ DE MONTOYA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;PUEBLO LIBRE
UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO;PÚBLICO;LICENCIA OTORGADA;8;CUSCO;CUSCO;CUSCO
UNIVERSIDAD NACIONAL TECNOLÓGICA DE SAN JUAN DE LURIGANCHO;PÚBLICO;CON INFORME DE OBSERVACIONES (IO) NOTIFICADO;0;LIMA;LIMA;SAN JUAN DE LURIGANCHO
UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;JESÚS MARÍA
UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;PÚBLICO;LICENCIA OTORGADA;6;LIMA;LIMA;LIMA
UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO;PÚBLICO;LICENCIA OTORGADA;6;HUÁNUCO;HUÁNUCO;PILLCO MARCA
UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;BARRANCO
UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;CHORRILLOS
UNIVERSIDAD NACIONAL DE TUMBES;PÚBLICO;LICENCIA OTORGADA;6;TUMBES;TUMBES;TUMBES
UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;PÚBLICO;CON INFORME DE OBSERVACIONES (IO) NOTIFICADO;0;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE
UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LINCE
UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA;PÚBLICO;LICENCIA OTORGADA;6;AYACUCHO;HUAMANGA;AYACUCHO
UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LIMA
UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE;PRIVADO;CON INFORME DE OBSERVACIONES (IO) NOTIFICADO;0;ÁNCASH;SANTA;CHIMBOTE
UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;PÚBLICO;LICENCIA OTORGADA;8;LIMA;LIMA;LA MOLINA
UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO;PÚBLICO;LICENCIA OTORGADA;6;ÁNCASH;HUARAZ;INDEPENDENCIA
