NOMBRE;TIPO_GESTION;ESTADO_LICENCIAMIENTO;PERIODO_LICENCIAMIENTO;DEPARTAMENTO_LOCAL;PROVINCIA_LOCAL;DISTRITO_LOCAL
UNIVERSIDAD PRIVADA L÷DER PERUANA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;CUSCO;LA CONVENCI‡N;SANTA ANA
UNIVERSIDAD PRIVADA AUT‡NOMA DEL SUR S.A.C.;PRIVADO;LICENCIA DENEGADA;0;AREQUIPA;AREQUIPA;AREQUIPA
UNIVERSIDAD NACIONAL AUT‡NOMA DE TAYACAJA DANIEL HERNµNDEZ MORILLO;PÈBLICO;LICENCIA OTORGADA;6;HUANCAVELICA;TAYACAJA;DANIEL HERNµNDEZ
UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA;PÈBLICO;LICENCIA OTORGADA;6;CUSCO;LA CONVENCI‡N;SANTA ANA
UNIVERSIDAD NACIONAL DE UCAYALI;PÈBLICO;LICENCIA OTORGADA;6;UCAYALI;CORONEL PORTILLO;CALLERIA
UNIVERSIDAD ANTONIO RUIZ DE MONTOYA;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;PUEBLO LIBRE
UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO;PÈBLICO;LICENCIA OTORGADA;8;CUSCO;CUSCO;CUSCO
UNIVERSIDAD NACIONAL TECNOL‡GICA DE SAN JUAN DE LURIGANCHO;PÈBLICO;CON INFORME DE OBSERVACIONES (IO) NOTIFICADO;0;LIMA;LIMA;SAN JUAN DE LURIGANCHO
UNIVERSIDAD PERUANA DE CIENCIAS E INFORMµTICA S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;JESÈS MAR÷A
UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;PÈBLICO;LICENCIA OTORGADA;6;LIMA;LIMA;LIMA
UNIVERSIDAD NACIONAL HERMILIO VALDIZµN DE HUµNUCO;PÈBLICO;LICENCIA OTORGADA;6;HUµNUCO;HUµNUCO;PILLCO MARCA
UNIVERSIDAD DE INGENIER÷A Y TECNOLOG÷A;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;BARRANCO
UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.;PRIVADO;LICENCIA OTORGADA;6;LIMA;LIMA;CHORRILLOS
UNIVERSIDAD NACIONAL DE TUMBES;PÈBLICO;LICENCIA OTORGADA;6;TUMBES;TUMBES;TUMBES
UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;PÈBLICO;CON INFORME DE OBSERVACIONES (IO) NOTIFICADO;0;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE
UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACI‡N CIVIL;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LINCE
UNIVERSIDAD NACIONAL DE SAN CRIST‡BAL DE HUAMANGA;PÈBLICO;LICENCIA OTORGADA;6;AYACUCHO;HUAMANGA;AYACUCHO
UNIVERSIDAD PERUANA DE LAS AMêRICAS S.A.C.;PRIVADO;LICENCIA DENEGADA;0;LIMA;LIMA;LIMA
UNIVERSIDAD CAT‡LICA LOS µNGELES DE CHIMBOTE;PRIVADO;CON INFORME DE OBSERVACIONES (IO) NOTIFICADO;0;µNCASH;SANTA;CHIMBOTE
UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;PÈBLICO;LICENCIA OTORGADA;8;LIMA;LIMA;LA MOLINA
UNIVERSIDAD NACIONAL SANTIAGO ANTÈNEZ DE MAYOLO;PÈBLICO;LICENCIA OTORGADA;6;µNCASH;HUARAZ;INDEPENDENCIA
